날짜,팀,선수,일수,포지션,부상명,예상 복귀일
2022.5.2,LG,임찬규,10,투수,Back tightness,D - 1
2022.5.19,LG,이우찬,10,투수,Elbow tendinitis,D - 5
2022.5.26,LG,임찬규,10,투수,Knee contusion,D - 3
2022.6.5,LG,임찬규,10,투수,Sprained elbow,D - 10
2022.9.30,LG,최성훈,10,투수,Flexor tendon surgery,D - 10
2023.4.10,LG,백승현,30,투수,Strained oblique,D - 14
2023.4.10,LG,이민호,30,투수,Elbow inflammation,D - 10
2023.5.2,LG,고우석,10,투수,Shoulder inflammation,D - 7
2023.5.12,LG,고우석,10,투수,Shoulder discomfort,D - 20
2023.5.20,LG,이정용,10,투수,Shoulder inflammation,D - 5
2023.5.22,LG,고우석,10,투수,Shoulder discomfort,D - 12
2023.5.30,LG,이정용,10,투수,Shoulder discomfort,D - 1
